diff_mean,diff_std,diff_median,diff_p95,diff_max,subject_id,split
1.23185,1.0,0.95311,3.3589,3.76947,1BB033,train
1.22539,1.0,0.94714,3.3373,3.55372,1BA234,train
1.26724,1.0,0.96437,2.94558,3.10494,1BA131,train
1.26396,1.0,0.97257,3.38942,3.62421,1BC074,train
1.2112,1.0,0.88842,3.23179,3.60067,1BB151,train
1.1473,1.0,0.83741,3.27037,3.62218,1BC035,train
1.28747,1.0,0.99335,3.19031,3.63695,1BC023,train
1.21132,1.0,0.87797,3.19516,3.56747,1BC022,train
1.12167,1.0,0.68766,3.04016,3.17504,1BA085,train
1.30051,1.0,1.05826,3.28529,3.6377,1BB175,train
1.42458,1.0,1.16755,3.33328,3.87542,1BC063,train
1.23916,1.0,0.96672,3.24678,3.52654,1BB109,train
1.16881,1.0,0.8415,3.36849,3.7524,1BC070,train
1.08197,1.0,0.63015,3.06484,3.34587,1BA164,train
1.27075,1.0,1.02683,3.39448,3.80122,1BA012,train
1.20236,1.0,0.92509,3.32939,3.73789,1BB075,train
1.12886,1.0,0.67641,2.95935,3.10978,1BA054,train
1.21831,1.0,0.91292,3.3062,3.56431,1BB006,train
1.2091,1.0,0.9083,3.34527,3.67005,1BB085,train
1.19394,1.0,0.88629,3.27547,3.78745,1BB072,train
1.13834,1.0,0.71567,3.0487,3.17264,1BA325,train
1.17842,1.0,0.88282,3.4292,3.81366,1BB052,train
1.21953,1.0,0.89844,3.27386,3.62779,1BB048,train
1.39311,1.0,1.18126,3.25333,3.49862,1BB198,train
1.33298,1.0,1.1304,3.4696,3.72229,1BA032,train
1.13726,1.0,0.71828,3.08251,3.25398,1BA222,train
1.22578,1.0,0.93641,3.26204,3.49415,1BB099,train
1.18328,1.0,0.89853,3.34003,3.83794,1BA014,train
1.13221,1.0,0.77446,3.18285,3.81081,1BC058,train
1.22103,1.0,0.93055,3.29832,3.55109,1BB095,train
1.09902,1.0,0.73601,3.23939,3.53245,1BA159,train
1.13976,1.0,0.80468,3.28641,3.51434,1BC088,train
1.2869,1.0,1.01447,3.15548,3.56736,1BC075,train
1.14714,1.0,0.82522,3.32573,3.88002,1BB182,train
1.15629,1.0,0.8132,3.23166,3.70254,1BC062,train
