diff_mean,diff_std,diff_median,diff_p95,diff_max,subject_id
1.09126,1.0,0.71573,3.23125,3.83552,1BA116
1.04343,1.0,0.62436,3.17081,3.62718,1BA256
1.33446,1.0,1.02726,3.29268,3.82062,1BC054
1.08998,1.0,0.68656,3.15546,3.58455,1BB044
1.24648,1.0,0.87055,3.16918,3.67694,1BC046
1.10588,1.0,0.66498,3.03892,3.37377,1BA100
1.09652,1.0,0.68679,3.11519,3.50699,1BA151
1.1782,1.0,0.83791,3.22968,3.53671,1BB017
1.20109,1.0,0.86379,3.20393,3.56084,1BB179
1.21696,1.0,0.89227,3.22774,3.47326,1BB200
1.16775,1.0,0.82633,3.16635,3.62872,1BB082
1.25234,1.0,0.82362,3.10889,3.39215,1BC065
1.24135,1.0,0.92945,3.29979,3.61605,1BB026
1.10576,1.0,0.69306,3.05947,3.30162,1BC038
1.07256,1.0,0.66003,3.13766,3.53856,1BA278
1.26575,1.0,0.99191,3.29109,3.60033,1BA103
1.04731,1.0,0.59095,3.07211,3.45292,1BA307
1.07899,1.0,0.64736,3.03997,3.4107,1BC009
1.12215,1.0,0.71983,3.17724,3.39788,1BB090
1.11273,1.0,0.69309,3.07894,3.37934,1BA358
1.25371,1.0,0.92577,3.10216,3.3008,1BB091
1.16511,1.0,0.74962,3.07337,3.35607,1BC001
1.0449,1.0,0.64791,3.10458,3.50751,1BC039
1.0585,1.0,0.62014,3.08401,3.40937,1BA184
1.09091,1.0,0.67596,3.2025,3.49395,1BA075
1.07609,1.0,0.64843,3.05435,3.3797,1BC083
1.18905,1.0,0.84197,3.1235,3.39797,1BB002
1.28473,1.0,1.03271,3.29808,3.69539,1BA111
1.13948,1.0,0.77753,3.21321,3.56149,1BC049
1.06185,1.0,0.67881,3.20204,3.51059,1BC084
1.16134,1.0,0.81706,3.1875,3.60138,1BB171
1.01725,1.0,0.56597,3.06439,3.33602,1BA345
1.07578,1.0,0.66328,3.12121,3.35331,1BC036
1.09793,1.0,0.67783,3.1249,3.35739,1BC010
1.19649,1.0,0.85092,3.21822,3.51827,1BB011
1.0707,1.0,0.64089,3.02365,3.34069,1BA175
